id,id_film
35,5
80,5
12,11
28,11
878,11
16,12
10751,12
18,13
35,13
10749,13
18,14
18,16
80,16
10402,16
12,18
14,18
28,18
53,18
878,18
18,19
878,19
18,20
10749,20
12,22
14,22
28,22
28,24
80,24
18,25
10752,25
18,28
10752,28
37,33
16,35
35,35
10751,35
18,38
878,38
10749,38
18,55
53,55
12,58
14,58
28,58
18,59
53,59
80,59
12,62
878,62
9648,62
18,65
18,66
53,66
80,66
35,68
878,68
18,69
10402,69
10749,69
18,70
18,71
35,71
10402,71
18,73
12,74
53,74
878,74
14,75
35,75
878,75
18,76
10749,76
53,77
9648,77
18,78
53,78
878,78
12,79
18,79
28,79
36,79
18,80
10749,80
18,83
53,83
12,85
28,85
12,87
28,87
12,89
28,89
28,90
35,90
80,90
12,95
28,95
53,95
878,95
28,96
35,96
80,96
12,98
18,98
28,98
35,100
80,100
18,103
80,103
18,104
28,104
53,104
12,105
35,105
878,105
10751,105
12,106
28,106
53,106
878,106
53,107
80,107
18,111
28,111
53,111
80,111
35,114
10749,114
35,115
80,115
18,116
53,116
80,116
10749,116
18,117
36,117
53,117
80,117
12,118
14,118
35,118
10751,118
12,120
14,120
28,120
12,121
14,121
28,121
12,122
14,122
28,122
12,128
14,128
16,128
12,129
14,129
16,129
10751,129
12,134
28,134
35,134
14,137
18,137
35,137
10749,137
14,141
18,141
9648,141
18,142
10749,142
12,146
18,146
28,146
10749,146
16,149
878,149
12,152
878,152
9648,152
18,153
12,154
28,154
53,154
878,154
18,155
28,155
53,155
80,155
12,157
28,157
53,157
878,157
53,161
80,161
14,162
18,162
10749,162
53,163
80,163
12,165
35,165
878,165
10751,165
18,167
878,167
12,168
878,168
28,169
53,169
878,169
27,170
53,170
878,170
12,172
28,172
53,172
878,172
12,173
18,173
878,173
12,174
28,174
53,174
878,174
27,176
80,176
9648,176
18,177
35,177
53,179
80,179
28,180
53,180
878,180
9648,180
18,182
53,182
80,182
9648,182
10749,182
10752,182
35,184
80,184
10749,184
18,186
53,186
80,186
9648,186
28,187
53,187
80,187
53,189
80,189
12,193
28,193
53,193
878,193
35,194
10749,194
12,196
35,196
878,196
10751,196
18,197
28,197
36,197
10752,197
12,199
28,199
53,199
878,199
12,200
28,200
53,200
878,200
12,201
28,201
53,201
878,201
18,203
80,203
18,205
36,205
10752,205
18,207
27,214
53,214
80,214
27,215
12,217
28,217
28,218
53,218
878,218
18,219
35,219
10749,219
18,223
9648,223
18,226
80,226
18,227
80,227
18,231
53,231
18,235
80,235
18,238
80,238
35,239
10749,239
18,240
80,240
18,242
53,242
80,242
18,243
35,243
10402,243
10749,243
18,245
35,245
10749,245
18,248
35,248
14,251
18,251
53,251
9648,251
10749,251
14,252
10751,252
12,253
28,253
53,253
12,254
18,254
28,254
18,257
80,257
10751,257
18,261
10749,261
14,268
28,268
18,272
28,272
80,272
18,274
53,274
80,274
14,277
28,277
53,277
18,278
80,278
18,279
36,279
10402,279
28,280
53,280
878,280
18,284
35,284
10749,284
12,285
14,285
28,285
37,288
18,289
10749,289
99,291
35,292
99,292
10402,292
28,296
53,296
878,296
14,297
18,297
9648,297
53,298
80,298
53,302
80,302
28,306
35,306
80,306
18,309
14,310
35,310
18,311
80,311
28,314
80,314
28,319
53,319
80,319
10749,319
53,320
80,320
9648,320
35,321
10749,321
18,322
53,322
80,322
9648,322
27,326
28,326
53,326
80,326
18,327
53,327
80,327
12,329
878,329
12,330
28,330
878,330
12,331
28,331
53,331
878,331
12,332
28,332
35,332
10751,332
18,334
37,335
18,338
35,338
10749,338
18,342
35,342
18,345
9648,345
18,346
28,346
27,348
28,348
53,348
878,348
18,350
35,350
10749,350
14,364
28,364
27,377
18,380
12,387
18,387
28,387
36,387
10752,387
18,388
53,388
80,388
18,389
37,391
18,392
35,392
10749,392
28,393
53,393
80,393
12,395
28,395
878,395
18,398
80,398
18,400
80,400
18,401
35,401
10749,401
18,403
35,403
18,404
14,408
16,408
10751,408
18,409
10749,409
10752,409
12,411
14,411
10751,411
14,414
28,414
80,414
14,415
28,415
80,415
12,421
18,421
35,421
18,423
10752,423
18,424
36,424
10752,424
12,425
16,425
35,425
10751,425
37,429
53,431
878,431
9648,431
14,433
35,433
10751,433
12,435
28,435
53,435
878,435
18,436
53,436
80,436
14,440
27,440
28,440
53,440
878,440
18,451
10749,451
18,453
10749,453
18,454
10749,454
18,455
35,455
10749,455
18,462
18,464
35,464
10402,464
10749,464
18,468
10749,468
18,470
53,470
80,470
18,473
53,473
9648,473
12,479
28,479
53,479
80,479
18,480
35,480
10749,480
18,489
14,492
18,492
35,492
35,496
14,497
18,497
80,497
53,500
80,500
12,503
18,503
28,503
53,503
18,504
80,504
18,507
28,507
53,507
80,507
18,508
35,508
10749,508
18,509
35,509
10749,509
18,510
35,512
9648,512
18,522
35,522
36,522
18,524
80,524
28,525
35,525
80,525
10402,525
12,526
14,526
18,526
10749,526
12,533
16,533
35,533
10751,533
28,534
53,534
878,534
18,535
10402,535
10749,535
18,539
27,539
53,539
28,540
18,542
10749,542
35,544
10749,544
18,546
18,547
10749,547
18,549
36,549
18,550
14,557
28,557
12,558
14,558
28,558
12,559
14,559
28,559
28,562
53,562
12,563
28,563
53,563
878,563
18,568
18,573
53,573
80,573
9648,573
12,576
37,576
14,577
18,577
35,577
53,577
12,578
27,578
53,578
27,579
53,579
12,580
53,580
12,581
18,581
37,581
18,582
53,582
28,584
53,584
80,584
16,585
35,585
10751,585
18,586
35,586
12,587
14,587
18,587
27,588
9648,588
18,590
53,591
9648,591
18,592
80,592
9648,592
12,593
18,593
878,593
9648,593
18,594
35,594
18,595
80,595
18,597
53,597
10749,597
18,598
80,598
12,601
14,601
878,601
10751,601
12,602
28,602
878,602
28,603
878,603
12,604
28,604
53,604
878,604
12,605
28,605
53,605
878,605
18,606
12,607
28,607
35,607
878,607
12,608
28,608
35,608
878,608
27,609
18,612
28,612
36,612
53,612
18,613
36,613
10752,613
18,615
18,616
28,616
36,616
10752,616
18,617
80,617
9648,617
18,619
28,619
53,619
10402,619
10749,619
10749,621
27,622
53,622
9648,622
18,627
80,627
27,628
10749,628
18,629
53,629
80,629
12,630
14,630
10751,630
18,634
35,634
10749,634
18,639
35,639
10749,639
18,640
80,640
18,641
80,641
18,642
36,642
37,642
80,642
12,644
18,644
878,644
12,646
28,646
53,646
18,650
80,650
12,652
18,652
10752,652
18,654
80,654
12,657
28,657
53,657
12,658
28,658
53,658
12,660
28,660
53,660
27,663
53,663
80,663
12,664
18,664
28,664
18,666
12,667
28,667
53,667
12,668
28,668
53,668
18,670
28,670
53,670
9648,670
12,671
14,671
10751,671
12,672
14,672
10751,672
12,673
14,673
10751,673
12,674
14,674
10751,674
12,675
14,675
9648,675
10751,675
36,676
10749,676
10752,676
27,679
28,679
53,679
878,679
53,680
80,680
12,681
28,681
53,681
12,682
28,682
53,682
18,686
878,686
9648,686
18,687
18,688
10749,688
12,691
28,691
53,691
27,692
35,692
80,692
35,693
10749,693
27,694
53,694
12,698
28,698
53,698
878,698
12,699
28,699
53,699
12,700
28,700
53,700
18,702
18,703
35,703
10749,703
35,704
10402,704
12,707
28,707
53,707
12,708
28,708
53,708
12,709
28,709
53,709
12,710
28,710
53,710
18,711
18,712
35,712
10749,712
18,713
10749,713
12,714
28,714
53,714
28,744
10749,744
10752,744
18,745
53,745
9648,745
18,746
36,746
27,747
35,747
14,752
28,752
53,752
28,754
53,754
80,754
878,754
27,755
28,755
53,755
80,755
16,756
10402,756
10751,756
12,762
14,762
35,762
27,764
14,765
27,765
35,765
14,766
27,766
35,766
12,767
14,767
10751,767
27,768
53,768
9648,768
18,769
80,769
18,770
10749,770
10752,770
35,771
10751,771
12,772
35,772
80,772
10751,772
18,773
35,773
53,782
878,782
9648,782
10749,782
